Title,Land Size,Location,Total Price,Monthly Payment
House For Rent In Nugegoda,"Beds-2, Baths-2 Size-sqft",,,"50,000"
House For Sale In Horana,"Beds-3, Baths-1 Size-1500sqft",,"4,500,000","63,937"
Land For Sale In Wattala,24 Perches,,"36,000,000","511,499"
Room For Rent In Kadawatha,"Beds-1, Baths-1",,,"20,000"
House For Sale In Maho,"Beds-5, Baths-1 Size-22sqft",,"7,500,000","106,562"
Land For Sale In Mawanella,10 Perches,,"750,000","10,656"
Land For Sale In Mandawala,12 Perches,,"3,000,000","42,625"
House For Sale In Maspotha,"Beds-2, Baths-1 Size-895sqft",,,
Land For Sale In Colombo,4.2 Perches,,"17,640,000",
Land For Sale In Tangalla,35 Perches,,"4,500,000","63,937"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Half Built House For Sale In Beliatta,"Beds-2, Baths-1 Size-1500sqft",,"2,700,000","38,362"
Land For Sale In Attanagalla,10 Perches,,"2,750,000","39,073"
Land For Sale In Buthpitiya,1 Acres,,"25,000,000","355,207"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1200sqft",,,
House For Rent In Matara,"Beds-2, Baths-1 Size-1490sqft",,,"65,000"
Land For Sale In Homagama,6 Perches,,"4,500,000","63,937"
House For Sale In Beliatta,"Beds-3, Baths-1 Size-1500sqft",,"14,000,000","198,916"
Land For Sale In Ja-Ela,10 Perches,,"5,900,000","83,829"
House For Sale In Homagama,"Beds-3, Baths-3 Size-sqft",,"21,000,000","298,374"
House For Rent In Nagoda,"Beds-3, Baths-1 Size-1400sqft",,,"40,000"
House For Sale In Polpitigama,"Beds-4, Baths-2 Size-243sqft",,"30,000,000","426,249"
House For Sale In Colombo 10,"Beds-3, Baths-2 Size-818sqft",,"25,500,000","362,312"
Land For Sale In Dambulla,15 Perches,,"3,000,000","42,625"
Annex For Rent In Mirigama,"Beds-2, Baths-2",,,"35,000"
Room For Rent In Colombo 05,"Beds-2, Baths-2",,,"9,000"
House For Sale In Hokandara,"Beds-6, Baths-3 Size-3950sqft",,"65,000,000","923,539"
Land For Sale In Ganemulla,12.5 Perches,,"7,812,500","111,002"
Room For Rent In Nugegoda,"Beds-1, Baths-1",,,"13,000"
House For Sale In Kaluaggala,29 Perches,,"5,000,000","71,041"
House For Sale In Padukka,"Beds-3, Baths-1 Size-1200sqft",,"8,000,000","113,666"
House For Rent In Kadawatha,"Beds-2, Baths-1 Size-1500sqft",,,"35,000"
Land With House For Sale In Angoda,38.3 Perches,,"78,000,000","1,108,247"
Land For Sale In Homagama,39 Perches,,"52,650,000","748,067"
House For Rent In Kadawatha,"Beds-3, Baths-2 Size-2000sqft",,,"99,000"
Land For Sale In Gamagoda,10 Perches,,"1,700,000","24,154"
House For Sale In Lbbagamuwa,"Beds-3, Baths-1 Size-2500sqft",,"14,500,000","206,020"
House For Rent In Kadawatha,"Beds-4, Baths-3 Size-2500sqft",,,"84,000"
House For Sale In Yakkala,"Beds-5, Baths-2 Size-2500sqft",,"26,000,000","369,416"
House For Sale In Piliyandala,"Beds-4, Baths-3 Size-2500sqft",,"35,000,000","497,290"
House For Sale In Pannipitiya,"Beds-3, Baths-2 Size-4356sqft",,"41,000,000","582,540"
Land For Sale In Kadawatha,12 Perches,,"6,600,000","93,775"
House For Sale In Pannipitiya,"Beds-3, Baths-1 Size-3430sqft",,"23,500,000","333,895"
Land For Sale In Divulapitiya,109 Perches,,"11,445,000","162,614"
House For Rent In Kadawatha,"Beds-4, Baths-3 Size-2000sqft",,,"99,000"
Room For Rent In Mount Lavinia,"Beds-1, Baths-1",,,"12,000"
House For Sale In Moratuwa,"Beds-4, Baths-4 Size-2258sqft",,"27,000,000","383,624"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Dodangoda,10 Perches,,"5,750,000","81,698"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Horana,10 Perches,,"3,250,000","46,177"
House For Sale In Mawanella,"Beds-6, Baths-2 Size-4800sqft",,"67,500,000","959,060"
Land For Sale In Homagama,6 Perches,,"4,500,000","63,937"
Land For Sale In Kirindiwela,10 Perches,,"2,750,000","39,073"
Land For Sale In Kadawatha,6 Perches,,"10,200,000","144,925"
Apartment For Rent In Malabe,"Beds-2, Baths-2 Size-1140sqft",,,"95,000"
House For Sale In Nugegoda,"Beds-8, Baths-6 Size-8000sqft",,,
Room For Rent In Maharagama,"Beds-1, Baths-1",,,"25,000"
Apartment For Sale In Rajagiriya,"Beds-2, Baths-2 Size-887sqft",,"35,000,000","497,290"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-sqft",,"26,000,000","369,416"
House For Sale In Baddegama,"Beds-5, Baths-3 Size-sqft",,"40,000,000","568,332"
House For Sale In Ekala,"Beds-3, Baths-1 Size-1700sqft",,"7,000,000","99,458"
House For Sale In Homagama,"Beds-4, Baths-3 Size-2722sqft",,"18,500,000","262,853"
Land For Sale In Kadawatha,4 Perches,,,
House For Rent In Talawatugoda,"Beds-2, Baths-1 Size-1300sqft",,,"50,000"
Land For Sale In Bandaragama,20 Perches,,"8,500,000","120,771"
Room For Rent In Dehiwala,"Beds-1, Baths-1",,,"20,000"
Land For Sale In Negombo,10 Perches,,"4,500,000","63,937"
House For Sale In Kelaniya,"Beds-4, Baths-3 Size-1200sqft",,"20,000,000","284,166"
House For Sale In Kahathuduwa,"Beds-3, Baths-2 Size-2000sqft",,"2,000,000","28,417"
House For Sale In Homagama,"Beds-3, Baths-1 Size-1500sqft",,"6,500,000","92,354"
Shop For Sale In Jaffna,825sqft,,,
House For Sale In Gampaha,"Beds-4, Baths-2 Size-1500sqft",,,
Shop For Sale In Gonapola Junction,12sqft,,"11,500,000","163,395"
Room For Rent In Kadawatha,"Beds-5, Baths-2",,,"6,000"
Annex For Rent In Padukka,"Beds-2, Baths-1",,,"25,000"
Land For Sale In Panadura,11 Perches,,"4,180,000","59,391"
House For Rent In Kelaniya,"Beds-2, Baths-1 Size-540sqft",,,"23,000"
House For Sale In Bandaragama,"Beds-3, Baths-1 Size-2450sqft",,"19,500,000","277,062"
House For Sale In Wattala,"Beds-2, Baths-2 Size-900sqft",,"28,000,000","397,832"
House For Sale In Athurugiriya,"Beds-3, Baths-2 Size-2500sqft",,"28,000,000","397,832"
Room For Rent In Kotte,"Beds-1, Baths-1",,,"25,500"
Land For Sale In Hettimulla,20 Perches,,"5,100,000","72,462"
Land For Sale In Nittambuwa,14.7 Perches,,"2,400,000","34,100"
Luxury Apartment For Sale In Athurugiriya,"Beds-3, Baths-3 Size-1200sqft",,,
Land For Sale In Wellawa,26 Perches,,"36,000,000","511,499"
House For Sale In Kurunegala,"Beds-3, Baths-1 Size-1600sqft",,"10,000,000","142,083"
Land For Sale In Buthpitiya,44 Perches,,"22,000,000","312,583"
House For Sale In Negombo,"Beds-3, Baths-1 Size-8000sqft",,,
Land For Sale In Sooriyawewa Town,40 Perches,,,
House For Sale In Kurunegala,"Beds-4, Baths-1 Size-1800sqft",,"6,800,000","96,616"
Land For Sale In Ella,30 Perches,,"20,400,000","289,849"
Land For Sale In Kirillawala,16 Perches,,"6,720,000","95,480"
Land For Sale In Elpitiya,20.5 Perches,,"2,050,000","29,127"
House For Rent In Homagama,"Beds-3, Baths-2 Size-900sqft",,,"35,000"
